6680500186636484923120412215594774374063264340588288091450938132472622265772 04/24/2024, 18:35:15 Speed 2 61005116609689452095294277566959522070153442123743378858616908690002450739309 
61005116609689452095294277566959522070153442123743378858616908690002450739309 04/24/2024, 18:35:41 Speed 2 68040649118375784756427554118774006031720506588410163502532406937027893172906 
68040649118375784756427554118774006031720506588410163502532406937027893172906 04/24/2024, 18:36:07 Speed 2 9023617948909988232859259992423604284521311796232659414753230169001325586663 
9023617948909988232859259992423604284521311796232659414753230169001325586663 04/24/2024, 18:36:47 Speed 2 107942539166300175706935155746374465410993912723012549336356831351927134525106 
107942539166300175706935155746374465410993912723012549336356831351927134525106 04/24/2024, 18:51:58 Speed 2 33711865658878635144913987152792354549196352066176076652247397135344918047005 
33711865658878635144913987152792354549196352066176076652247397135344918047005 04/24/2024, 19:05:23 Speed 2 113635461015121520927520883442467322756886318800916884522404059642901304503322 
113635461015121520927520883442467322756886318800916884522404059642901304503322 04/24/2024, 18:53:19 Speed 2 115283097062431906397769365289659571616907679533011636133203647880455131058069 
115283097062431906397769365289659571616907679533011636133203647880455131058069 04/24/2024, 18:54:03 Speed 2 52767750823864942679377181067628210316548324755033376845650011245619947618034 
52767750823864942679377181067628210316548324755033376845650011245619947618034 04/24/2024, 18:54:15 Speed 2 30487885887230773432322776255057478725347448136667013065015167204672364527417 
30487885887230773432322776255057478725347448136667013065015167204672364527417 04/24/2024, 18:54:53 Speed 2 34391120095748098273699525092374866691191146399760193718393826818416360392587 
34391120095748098273699525092374866691191146399760193718393826818416360392587 04/24/2024, 19:07:35 Speed 2 3643484845578251109467737412275350118853796919170413550399773296365181092993 
3643484845578251109467737412275350118853796919170413550399773296365181092993 04/24/2024, 18:54:58 Speed 2 26852444794407156765586532788660022594474042225807316895157672476960177177177 
26852444794407156765586532788660022594474042225807316895157672476960177177177 04/24/2024, 18:55:21 Speed 2 25779315681739656169011234165231827038144658678258102604741033372544766674966 
25779315681739656169011234165231827038144658678258102604741033372544766674966 04/24/2024, 18:55:43 Speed 2 104958615452195838847122842902262645661215541828786569821624289084221038218052 
104958615452195838847122842902262645661215541828786569821624289084221038218052 04/24/2024, 18:55:32 Speed 2 75670974933792804510557592047654740835639787046937729901665603616638233638308 
75670974933792804510557592047654740835639787046937729901665603616638233638308 04/24/2024, 18:56:05 Speed 2 24489701240832693091924712601157259957215043670904850840076156780222928038503 
24489701240832693091924712601157259957215043670904850840076156780222928038503 04/24/2024, 18:56:09 Speed 2 92694259003382175025480729757514787272221807575388531439687964279035613665188 
92694259003382175025480729757514787272221807575388531439687964279035613665188 04/24/2024, 19:19:51 Speed 2 105045664311284199208404469039326960555439119497475847858114690406466984245336 
105045664311284199208404469039326960555439119497475847858114690406466984245336 04/24/2024, 19:08:15 Speed 2 58137714930568377301332714125785034635307094308644857888672759224527267488218 
58137714930568377301332714125785034635307094308644857888672759224527267488218 04/24/2024, 19:07:54 Speed 2 57474502869431455400815196207219012098207636071853915822855837433893908564208 
